fonte,url,tipo_dado,formato,cobertura_temporal,licenca,status,observacoes
openfootball/worldcup,https://github.com/openfootball/worldcup,"jogos, grupos, fases, estadios e resultados",Football.TXT e CSV,Copas FIFA masculinas; V1 usa 2022 e 2026,open data; ver LICENSE.md do repositorio,primaria,Fonte primaria para calendario e resultados da Copa.
martj42/international_results,https://github.com/martj42/international_results,historico de partidas internacionais,CSV,1872 em diante; V1 filtra desde 2018-01-01,ver licenca/termos do repositorio,auxiliar,Usado para forma recente e features pre-jogo.
StatsBomb Open Data,https://github.com/statsbomb/open-data,"eventos, lineups e dados 360",JSON,Inclui competicoes abertas; Copa 2022 a validar,StatsBomb Open Data terms,opcional,Nao bloqueia V1 minima.
FIFA Ranking,https://www.fifa.com/fifa-world-ranking/men,ranking de selecoes,HTML/API a validar,Rankings periodicos; datas de referencia pendentes,termos FIFA,auxiliar,DEC-01 pendente: pre-torneio ou pre-jogo.
World Football Elo Ratings,https://www.eloratings.net/,Elo historico de selecoes,HTML/CSV a validar,Historico de selecoes,termos do site a validar,auxiliar,DEC-02 pendente: coletar externo ou calcular internamente.
OddsPortal,https://www.oddsportal.com/football/world/world-cup-2022/results/,odds historicas e resultados,HTML,Copa 2022 e pagina 2026,termos do site a validar antes de scraping,auxiliar,"Candidata, mas scraping deve ser validado."
OddsChecker,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa,odds por jogo e por casa,HTML renderizado,Copa do Mundo 2026,site publico; coleta pode ser bloqueada por Cloudflare e termos devem ser respeitados,auxiliar,Scraper auditavel implementado em R/01_coleta/07b_baixar_odds_oddschecker.R.
football-data.co.uk,https://www.football-data.co.uk/data.php,resultados e odds,XLSX/CSV,World Cup XLSX e ligas historicas,uso livre com aviso; ver disclaimer do site,primaria,Fonte primaria V1 para odds via WorldCup2026.xlsx quando disponivel.
The Odds API,https://www.the-odds-api.com/,odds via API,JSON,Atual e historico conforme plano/API,exige chave; pode exigir plano pago,descartada,Descartada para V1 porque o pipeline deve usar apenas dados abertos sem compra de API key.
Wikipedia/FIFA/RSSSF,https://www.rsssf.org/,validacao cruzada,HTML,Historico amplo,licencas variam por fonte,auxiliar,"Apoio para auditoria de datas, sedes e divergencias."
